Adriatic Marine,5001992,Yes,Satellite Phone, Irridium-TM,4807685704,2011-03-01,,55.00,Month
Adriatic Marine,5001992,Yes,Oceans mail-TM,mediterranean@oceans.net Renewal 11/11,2011-11-01,,400.00,Yearly
Adriatic Marine,5001993,Yes,Oceans mail-TM,aegean@oceans.net Renewal 11/11,2011-11-01,,400.00,Yearly
Adriatic Marine,5001993,Yes,Satellite Phone, Irridium-TM,4802637764,2011-03-01,,55.00,Month
Adriatic Marine,5001994,Yes,Satellite Phone, Irridium-TM,4804563171,2011-03-01,,55.00,Month
Adriatic Marine,5001994,Yes,Oceans mail-TM,adriatic@oceans.mail Renewal 10/11,2011-10-01,,400.00,Yearly
Adriatic Marine,5001995,Yes,Oceans mail-TM,arctic@oceans.mail Renewal 12/11,2011-12-01,,400.00,Yearly
Adriatic Marine,5001995,Yes,Satellite Phone, Irridium-TM,4807686335,2011-03-01,,55.00,Month
Adriatic Marine,5001996,Yes,Oceans mail-TM,caspian@oceans.net Renewal 6/11,2011-06-01,,400.00,Yearly
Adriatic Marine,5001996,Yes,Satellite Phone, Irridium-TM,4802637072,2011-03-01,,55.00,Month
Adriatic Marine,5001997,Yes,Phone Number, Iridium-TM,4802636002,2011-03-01,,55.00,Month
Adriatic Marine,5002226,Yes,Phone Number, Iridium,1.50/minute Data= 765079319,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,Phone Number, Iridium,1.50/minute Fax= 765079318,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,Phone Number, Iridium,1.50/minute V2= 765079317,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,Phone Number, Iridium,1.50/minute V1= 765079316,2011-04-29,,1.50,Minute
Alien Marketing,5000424,Yes,VSAT Terminal Standard,,0000-00-00,,0.00,
American Land & Exploration,5000281,Yes,NOC, Colocation,6 Rack Spaces,2007-01-01,,150.00,Month
American Land & Exploration,5000281,Yes,Internet, 1M LUS On-Net,12.166.223.27 & 12.166.223.28,2007-01-01,,100.00,Month
Anglo-Suisse,5001999,Yes,Space Segment 512/256-TM,,2011-03-01,,2100.00,Month
Anglo-Suisse,5001999,Yes,VSAT Terminal Standard-TM,Modem: 114129,2011-03-01,,0.00,
Anglo-Suisse,5001999,Yes,VSAT Dish, 1.2M Fixed-TM,,2011-03-01,,0.00,
Anglo-Suisse,5002000,Yes,VSAT Terminal Standard-TM,Modem: 54842,2011-03-01,,0.00,
Anglo-Suisse,5002000,Yes,VSAT Dish, 1.2M Fixed-TM,,2011-03-01,,0.00,
Anglo-Suisse,5002000,Yes,Space Segment 256/128-TM,,2011-03-01,,1550.00,Month
Apache Construction,5000685,Yes,DS3 Point to Point,LUS Ckt ID - 6306866012 1015000685,2008-07-22,,3195.00,Month
BHP Billiton,5002002,Yes,Satellite Phone, MSAT G2-TM,MTID billing # 155012,2011-03-01,,600.00,Month
BHP Billiton,5002002,Yes,Phone number, MSAT G2-TM,8662131750,2011-03-01,,20.00,Month
BHP Billiton,5002002,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5002003,Yes,Satellite Phone, MSAT G2-TM,MTID billing #118950,2011-03-01,,600.00,Month
BHP Billiton,5002003,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5002003,Yes,Phone number, MSAT G2-TM,8772650301,2011-03-01,,20.00,Month
BHP Billiton,5002004,Yes,Satellite Phone, MSAT G2-TM,MTID Billing #117626,2011-03-01,,350.00,Month
BHP Billiton,5002004,Yes,Phone number, MSAT G2-TM,8776024044,2011-03-01,,20.00,Month
BHP Billiton,5002005,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5002005,Yes,Phone number, MSAT G2-TM,8772650299,2011-03-01,,20.00,Month
BHP Billiton,5002005,Yes,Satellite Phone, MSAT G2-TM,MTID billing # 118949,2011-03-01,,600.00,Month
BHP Billiton,5002006,Yes,Satellite Phone, MSAT G2-TM,MTID billing #120474,2011-03-01,,600.00,Month
BHP Billiton,5002006,Yes,Phone number, MSAT G2-TM,8772654272,2011-03-01,,20.00,Month
BHP Billiton,5002006,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5002007,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5002007,Yes,Satellite Phone, MSAT G2-TM,MTID billing #154832,2011-03-01,,600.00,Month
BHP Billiton,5002007,Yes,Phone number, MSAT G2-TM,8008519982,2011-03-01,,20.00,Month
BHP Billiton,5002008,Yes,Satellite Phone, MSAT G2-TM,,2011-03-01,,600.00,Month
BHP Billiton,5002008,Yes,Phone number, MSAT G2-TM,8775986309,2011-03-01,,20.00,Month
BHP Billiton,5002008,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
BHP Billiton,5010073,Yes,Wireless, Access Point,Install wireless access shots,0000-00-00,,0.00,
Bordelon Marine,5002009,Yes,Fax Machine-TM,Brother MFC290C,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,Phone Number, Houma-TM,9852622475,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,Phone Number, Houma-TM,9852622128,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,Phone Number, Houma-TM,Fax 9857469092,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,VSAT Terminal Gilat-TM,,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,VSAT dish, Azimuth .85m-TM,,2011-03-01,,0.00,
Bordelon Marine,5002009,Yes,Space Segment 1024/512-TM,,2011-03-01,,3000.00,Month
C&G Boats,5002010,Yes,Oceans mail-TM,msmaggie@ocens.net Renewal 9/11,2011-09-01,,300.00,Yearly
C&G Boats,5002010,Yes,Phone Number, Iridium-TM,4802634854,2011-03-01,,55.00,Month
Cajun Maritime, LLC,5002011,Yes,Satellite phone, Inmarsat-TM,sim 898709910416141894 870776442969,2011-03-01,,25.00,Month
Chesapeake Energy,5000021,Yes,Long Distance,,0000-00-00,,0.12,Minute
Danos Deep Water Vessels,5002013,Yes,Phone Number, Iridium-TM,4802635734,2011-03-01,,55.00,Month
Dorsey Offshore LLC,5002014,Yes,Phone number, MSAT G2-TM,8772656355,2011-03-01,,50.00,Month
Dorsey Offshore LLC,5002014,Yes,Call Barring-TM,,2011-03-01,,12.00,Month
Dynamic Offshore,5002023,Yes,Phone Number, Houston-TM,7133382683,2011-03-01,,0.00,
Dynamic Offshore,5002023,Yes,Phone Number, Houston-TM,7133382119,2011-03-01,,0.00,
Dynamic Offshore,5002023,Yes,Phone Number, Houston-TM,7133382682,2011-03-01,,0.00,
Dynamic Offshore,5002023,Yes,VSAT Terminal Standard-TM,mdem 55730. 5000 series,2011-03-01,,85.00,Day
Dynamic Offshore,5002023,Yes,VSAT Dish, 1.2M Fixed-TM,,2011-03-01,,0.00,
Dynamic Offshore,5002023,Yes,Phone Number, Houston-TM,Fax 8324262933,2011-03-01,,0.00,
Dynamic Offshore,5002024,Yes,Phone Number, Houston-TM,7139666050,2011-03-01,,0.00,
Dynamic Offshore,5002024,Yes,Space Segment 256/128-TM,,2011-03-01,,1465.00,Month
Dynamic Offshore,5002024,Yes,VSAT Dish, 1.2M Fixed-TM,,2011-03-01,,0.00,
Dynamic Offshore,5002024,Yes,VSAT Terminal Standard-TM,Modem: 93134,2011-03-01,,0.00,
Dynamic Offshore,5002024,Yes,Phone Number, Houston-TM,7139666051,2011-03-01,,0.00,
Dynamic Offshore,5002024,Yes,Phone Number, Houston-TM,Fax 7134742208,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,VSAT Dish, 1.2M Fixed-TM,,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,Fax Machine-TM,Brother MFC290C,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,Phone Number, Houston-TM,7134222970,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,Phone Number, Houston-TM,7134222971,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,Phone Number, Houston-TM,Fax 2819903027,2011-03-01,,0.00,
Dynamic Offshore,5002025,Yes,Space Segment 256/128-TM,,2011-03-01,,1465.00,Month
Dynamic Offshore,5002025,Yes,VSAT Terminal Standard-TM,Modem: 116420,2011-03-01,,0.00,
Dynamic Offshore,5002026,Yes,VSAT Terminal Standard-TM,Modem: 120878,2011-03-01,,0.00,
Dynamic Offshore,5002026,Yes,Fax Machine-TM,Brother MFC190C,2011-03-01,,0.00,
Dynamic Offshore,5002026,Yes,Phone Number, Houston-TM,7139362572,2011-03-01,,0.00,
Dynamic Offshore,5002026,Yes,Phone Number, Houston-TM,Fax 7139604863,2011-03-01,,0.00,
