account	job	prebill	Site	name	GLCode	AFE	PO	Rep	description	startdate	stopdate	price	rate	
Abdon Callais Offshore -ACO	5002335	No	MV Callais Provider	Satellite TV, DirecTV	4013050000000			shawno	002213390483 8LF0306	2011-06-14		0.00	
Abdon Callais Offshore -ACO	5002335	No	MV Callais Provider	TVRO Controller	4043050000000			shawno	TV10001	2011-06-14		0.00	
Abdon Callais Offshore -ACO	5002335	No	MV Callais Provider	TVRO Antenna	4043050000000			shawno	TV10002	2011-06-14		35.00	Day
Abdon Callais Offshore -ACO	5002335	No	MV Callais Provider	Satellite TV, DirecTV	4013050000000			shawno	002901550257 6LF0173	2011-06-14		0.00	
Abdon Callais Offshore -ACO	5002335	No	MV Callais Provider	Satellite TV, DirecTV	4013050000000			shawno	00182962642 6LF0184	2011-06-14		0.00	
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	TVRO Antenna	4043050000000			shawno	TV10001 	2011-07-08		35.00	day
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	VSAT Dish, KVH V7	4043050000000			shawno	VSAT 5022	2011-07-08		250.00	day
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	VSAT Terminal Standard	4013050000000			shawno		2011-07-08		0.00	
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Hand Held Radio w/Acc.-TM	4043055000000			shawno	tw10106 tw10107 tw10120 tw10108 tw10089 tw10105 tw10109 tw10118 tw10136 tw10100	2011-07-08		80.00	day
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Satellite TV, DirecTV-TM	4013055000000			shawno	8LF0433 6LF0179	2011-07-08		0.00	
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston	4045050000050			shawno	281-921-0766	2011-07-08			
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston	4045050000050			shawno	281-921-0764	2011-07-08			
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston-TM	4045055000050			shawno	281-921-0763	2011-07-08			
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston-TM	4045055000050			shawno	281-921-0765	2011-07-08			
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston-TM	4045055000050			shawno	281-921-0762	2011-07-08			
Abdon Callais Offshore -ACO	5002341	No	m/v Jessica Moore	Phone Number, Houston-TM	4045055000050			shawno	281-921-0761	2011-07-08			
Adriatic Marine	5001992	Yes	Mediteranean	Satellite Phone, Irridium-TM	4043055000000			shawno	4807685704	2011-03-01		55.00	Month
Adriatic Marine	5001993	Yes	MV Aegean	Satellite Phone, Irridium-TM	4043055000000			shawno	4802637764	2011-03-01		55.00	Month
Adriatic Marine	5001994	Yes	MV Adriatic	Satellite Phone, Irridium-TM	4043055000000			shawno	4804563171	2011-03-01		55.00	Month
Adriatic Marine	5001995	Yes	MV Arctic	Satellite Phone, Irridium-TM	4043055000000			shawno	4807686335	2011-03-01		55.00	Month
Adriatic Marine	5001996	Yes	MV Caspian	Oceans mail-TM	4043055000000			shawno	caspian@oceans.net Renewal 6/11	2011-06-01		400.00	Yearly
Adriatic Marine	5001996	Yes	MV Caspian	Satellite Phone, Irridium-TM	4043055000000			shawno	4802637072	2011-03-01		55.00	Month
Adriatic Marine	5001997	Yes	All boats	Phone Number, Iridium-TM	4045055000050		All boats	shawno	4802636002	2011-03-01		55.00	Month
Adriatic Marine	5002226	Yes	MV UnReel	KVH Mini M Service-TM	4043055000000		MV UnReel	shawno		2011-04-29		50.00	month
Adriatic Marine	5002226	Yes	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute Data= 765079319	2011-04-29		1.50	Minute
Adriatic Marine	5002226	Yes	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute Fax= 765079318	2011-04-29		1.50	Minute
Adriatic Marine	5002226	Yes	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute V2= 765079317	2011-04-29		1.50	Minute
Adriatic Marine	5002226	Yes	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute V1= 765079316	2011-04-29		1.50	Minute
AMC Liftboats	5002265	No	LB Mr. Alan	Phone Number, Houma	4045050000050			shawno	985-772-8546-FAX	2011-05-23			
AMC Liftboats	5002265	No	LB Mr. Alan	Phone Number, Houma	4045050000050			shawno	985-772-8528	2011-05-23			
AMC Liftboats	5002265	No	LB Mr. Alan	Phone Number, Houma	4045050000050			shawno	985-772-8527	2011-05-03		0.00	
AMC Liftboats	5002265	No	LB Mr. Alan	Space Segment 256/128	4013050000000			shawno		2011-05-23		2650.00	month
AMC Liftboats	5002265	No	LB Mr. Alan	VSAT Terminal Standard	4013050000000			shawno	5009	2011-05-23		0.00	
AMC Liftboats	5002265	No	LB Mr. Alan	VSAT Dish, KVH V7	4043050000000			shawno		2011-05-23		0.00	
AMC Liftboats	5002192	No	LB Whitney	Phone Number, Houma-TM	4045055000050			shawno	985-772-8519 - FAX	2011-04-12		0.00	
AMC Liftboats	5002192	No	LB Whitney	Phone Number, Houma-TM	4045055000050			shawno	985-746-4455	2011-04-12		0.00	
AMC Liftboats	5002192	No	LB Whitney	Phone Number, Houma-TM	4045055000050			shawno	985-746-4456	2011-04-12		0.00	
AMC Liftboats	5002192	No	LB Whitney	VSAT Terminal Standard-TM	4013055000000			shawno	VSAT 5016	2011-04-12		0.00	
AMC Liftboats	5002192	No	LB Whitney	VSAT Dish, KVH V7-TM	4043055000000			shawno		2011-04-12		0.00	Day
AMC Liftboats	5002192	No	LB Whitney	Space Segment 256/128	4013050000000			shawno	36 month term	2011-04-12		2650.00	Month
American Land & Exploration	5000281	Yes	Server Group 1	NOC, Colocation	4010050000000			jerrelb	6 Rack Spaces	2007-01-01		150.00	Month
American Land & Exploration	5000281	Yes	Server Group 1	Internet, 1M LUS On-Net	4011050000000			jerrelb	12.166.223.27 & 12.166.223.28	2007-01-01		100.00	Month
American Land & Exploration	5001015	No	Server Group 2	NOC, Colocation	4010050000000			jerrelb	Discounted due to existing CoLo	2009-07-06		75.00	Month
American Land & Exploration	5001015	No	Server Group 2	Internet, 1M LUS On-Net	4011050000000			jerrelb		2009-07-06		100.00	Month
American Land & Exploration	5001273	No	Server Group 3	NOC, Colocation	4010050000000			jerrelb	Discounted due to existing CoLo	2010-01-23		75.00	Month
Anglo-Suisse	5001999	Yes	WD 117G	Space Segment 512/256-TM	4013055000000	09-FC-082	ASOP6046/ASOP6052	stevel		2011-03-01		2100.00	Month
Anglo-Suisse	5001999	Yes	WD 117G	VSAT Terminal Standard-TM	4013055000000	09-FC-082	ASOP6046/ASOP6052	stevel	Modem: 114129	2011-03-01		0.00	
