account	job	Site	name	GLCode	AFE	PO	Rep	description	startdate	stopdate	price	rate	
Adriatic Marine	5001992	Mediteranean	Satellite Phone, Irridium-TM	4043055000000			shawno	4807685704	2011-03-01		55.00	Month
Adriatic Marine	5001993	MV Aegean	Satellite Phone, Irridium-TM	4043055000000			shawno	4802637764	2011-03-01		55.00	Month
Adriatic Marine	5001994	MV Adriatic	Satellite Phone, Irridium-TM	4043055000000			shawno	4804563171	2011-03-01		55.00	Month
Adriatic Marine	5001995	MV Arctic	Satellite Phone, Irridium-TM	4043055000000			shawno	4807686335	2011-03-01		55.00	Month
Adriatic Marine	5001996	MV Caspian	Oceans mail-TM	4043055000000			shawno	caspian@oceans.net Renewal 6/11	2011-06-01		400.00	Yearly
Adriatic Marine	5001996	MV Caspian	Satellite Phone, Irridium-TM	4043055000000			shawno	4802637072	2011-03-01		55.00	Month
Adriatic Marine	5001997	All boats	Phone Number, Iridium-TM	4045055000050		All boats	shawno	4802636002	2011-03-01		55.00	Month
Adriatic Marine	5002226	MV UnReel	KVH Mini M Service-TM	4043055000000		MV UnReel	shawno		2011-04-29		50.00	month
Adriatic Marine	5002226	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute Data= 765079319	2011-04-29		1.50	Minute
Adriatic Marine	5002226	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute Fax= 765079318	2011-04-29		1.50	Minute
Adriatic Marine	5002226	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute V2= 765079317	2011-04-29		1.50	Minute
Adriatic Marine	5002226	MV UnReel	Phone Number, Iridium	4045050000050		MV UnReel	shawno	1.50/minute V1= 765079316	2011-04-29		1.50	Minute
American Land & Exploration	5000281	Server Group 1	NOC, Colocation	4010050000000			jerrelb	6 Rack Spaces	2007-01-01		150.00	Month
American Land & Exploration	5000281	Server Group 1	Internet, 1M LUS On-Net	4011050000000			jerrelb	12.166.223.27 & 12.166.223.28	2007-01-01		100.00	Month
Anglo-Suisse	5001999	WD 117G	Space Segment 512/256-TM	4013055000000	09-FC-082	ASOP6046/ASOP6052	stevel		2011-03-01		2100.00	Month
Anglo-Suisse	5001999	WD 117G	VSAT Terminal Standard-TM	4013055000000	09-FC-082	ASOP6046/ASOP6052	stevel	Modem: 114129	2011-03-01		0.00	
Anglo-Suisse	5001999	WD 117G	VSAT Dish, 1.2M Fixed-TM	4043055000000	09-FC-082	ASOP6046/ASOP6052	stevel		2011-03-01		0.00	
Apache Construction	5000685	Lafayette Office	DS3 Point to Point	4045050000055		Re: DS/AVPN Lafayette	tracyp	LUS Ckt ID - 6306866012 1015000685	2008-07-22		3195.00	Month
Beau Soleil Marine, LLC	5002068	MV Leader	Phone Number, Iridium-TM	4045055000050			shawno	4802637053	2011-03-01		55.00	Month
BHP Billiton	5002002	MV Harvey Carrier	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing # 155012	2011-03-01		600.00	Month
